n,m,x,time_frame_pose_x
n_value,m_value,x_value,1728168306.3384337_0_pose_x_0.6071980595588684
n_value,m_value,x_value,1728168306.3384337_0_pose_y_0.6268194913864136
n_value,m_value,x_value,1728168306.3384337_0_pose_z_-0.575522780418396
n_value,m_value,x_value,1728168306.3384337_1_pose_x_0.631243109703064
n_value,m_value,x_value,1728168306.3384337_1_pose_y_0.5908908843994141
n_value,m_value,x_value,1728168306.3384337_1_pose_z_-0.5385391116142273
n_value,m_value,x_value,1728168306.3384337_2_pose_x_0.6442516446113586
n_value,m_value,x_value,1728168306.3384337_2_pose_y_0.5934412479400635
n_value,m_value,x_value,1728168306.3384337_2_pose_z_-0.5384095907211304
n_value,m_value,x_value,1728168306.3384337_3_pose_x_0.6576225757598877
n_value,m_value,x_value,1728168306.3384337_3_pose_y_0.5967459082603455
n_value,m_value,x_value,1728168306.3384337_3_pose_z_-0.5382996797561646
n_value,m_value,x_value,1728168306.3384337_4_pose_x_0.5890428423881531
n_value,m_value,x_value,1728168306.3384337_4_pose_y_0.5859565734863281
n_value,m_value,x_value,1728168306.3384337_4_pose_z_-0.5306034684181213
n_value,m_value,x_value,1728168306.3384337_5_pose_x_0.5746961236000061
n_value,m_value,x_value,1728168306.3384337_5_pose_y_0.5855263471603394
n_value,m_value,x_value,1728168306.3384337_5_pose_z_-0.5297672748565674
n_value,m_value,x_value,1728168306.3384337_6_pose_x_0.5634167194366455
n_value,m_value,x_value,1728168306.3384337_6_pose_y_0.5857396721839905
n_value,m_value,x_value,1728168306.3384337_6_pose_z_-0.5298601984977722
n_value,m_value,x_value,1728168306.3384337_7_pose_x_0.6817628145217896
n_value,m_value,x_value,1728168306.3384337_7_pose_y_0.6309790015220642
n_value,m_value,x_value,1728168306.3384337_7_pose_z_-0.3056175708770752
n_value,m_value,x_value,1728168306.3384337_8_pose_x_0.5471621155738831
n_value,m_value,x_value,1728168306.3384337_8_pose_y_0.617209792137146
n_value,m_value,x_value,1728168306.3384337_8_pose_z_-0.25885438919067383
n_value,m_value,x_value,1728168306.3384337_9_pose_x_0.6323387622833252
n_value,m_value,x_value,1728168306.3384337_9_pose_y_0.6850959658622742
n_value,m_value,x_value,1728168306.3384337_9_pose_z_-0.48985037207603455
n_value,m_value,x_value,1728168306.3384337_10_pose_x_0.5811442732810974
n_value,m_value,x_value,1728168306.3384337_10_pose_y_0.6777319312095642
n_value,m_value,x_value,1728168306.3384337_10_pose_z_-0.4773519039154053
n_value,m_value,x_value,1728168306.3384337_11_pose_x_0.7681427001953125
n_value,m_value,x_value,1728168306.3384337_11_pose_y_0.8887037038803101
n_value,m_value,x_value,1728168306.3384337_11_pose_z_-0.19353382289409637
n_value,m_value,x_value,1728168306.3384337_12_pose_x_0.4415901303291321
n_value,m_value,x_value,1728168306.3384337_12_pose_y_0.8521192073822021
n_value,m_value,x_value,1728168306.3384337_12_pose_z_-0.18141919374465942
n_value,m_value,x_value,1728168306.3384337_13_pose_x_0.8377262949943542
n_value,m_value,x_value,1728168306.3384337_13_pose_y_1.2090363502502441
n_value,m_value,x_value,1728168306.3384337_13_pose_z_-0.22436337172985077
n_value,m_value,x_value,1728168306.3384337_14_pose_x_0.32975947856903076
n_value,m_value,x_value,1728168306.3384337_14_pose_y_1.0216562747955322
n_value,m_value,x_value,1728168306.3384337_14_pose_z_-0.23864777386188507
n_value,m_value,x_value,1728168306.3384337_15_pose_x_0.8398120999336243
n_value,m_value,x_value,1728168306.3384337_15_pose_y_1.357852816581726
n_value,m_value,x_value,1728168306.3384337_15_pose_z_-0.42484837770462036
n_value,m_value,x_value,1728168306.3384337_16_pose_x_0.3455919623374939
n_value,m_value,x_value,1728168306.3384337_16_pose_y_1.34324312210083
n_value,m_value,x_value,1728168306.3384337_16_pose_z_-0.6598665714263916
n_value,m_value,x_value,1728168306.3384337_17_pose_x_0.8630164861679077
n_value,m_value,x_value,1728168306.3384337_17_pose_y_1.4177777767181396
n_value,m_value,x_value,1728168306.3384337_17_pose_z_-0.5025950074195862
n_value,m_value,x_value,1728168306.3384337_18_pose_x_0.3255736231803894
n_value,m_value,x_value,1728168306.3384337_18_pose_y_1.4223724603652954
n_value,m_value,x_value,1728168306.3384337_18_pose_z_-0.7583341598510742
n_value,m_value,x_value,1728168306.3384337_19_pose_x_0.8293265104293823
n_value,m_value,x_value,1728168306.3384337_19_pose_y_1.3981372117996216
n_value,m_value,x_value,1728168306.3384337_19_pose_z_-0.5346742272377014
n_value,m_value,x_value,1728168306.3384337_20_pose_x_0.36711418628692627
n_value,m_value,x_value,1728168306.3384337_20_pose_y_1.408742904663086
n_value,m_value,x_value,1728168306.3384337_20_pose_z_-0.8025892972946167
n_value,m_value,x_value,1728168306.3384337_21_pose_x_0.8143802881240845
n_value,m_value,x_value,1728168306.3384337_21_pose_y_1.372521996498108
n_value,m_value,x_value,1728168306.3384337_21_pose_z_-0.45363202691078186
n_value,m_value,x_value,1728168306.3384337_22_pose_x_0.3798864483833313
n_value,m_value,x_value,1728168306.3384337_22_pose_y_1.3785220384597778
n_value,m_value,x_value,1728168306.3384337_22_pose_z_-0.6972049474716187
n_value,m_value,x_value,1728168306.3384337_23_pose_x_0.6722087860107422
n_value,m_value,x_value,1728168306.3384337_23_pose_y_1.4394656419754028
n_value,m_value,x_value,1728168306.3384337_23_pose_z_-0.0411466620862484
n_value,m_value,x_value,1728168306.3384337_24_pose_x_0.4460321366786957
n_value,m_value,x_value,1728168306.3384337_24_pose_y_1.416689395904541
n_value,m_value,x_value,1728168306.3384337_24_pose_z_0.046543095260858536
n_value,m_value,x_value,1728168306.3384337_25_pose_x_0.6400599479675293
n_value,m_value,x_value,1728168306.3384337_25_pose_y_1.8911617994308472
n_value,m_value,x_value,1728168306.3384337_25_pose_z_-0.1520754098892212
n_value,m_value,x_value,1728168306.3384337_26_pose_x_0.4300118386745453
n_value,m_value,x_value,1728168306.3384337_26_pose_y_1.874985933303833
n_value,m_value,x_value,1728168306.3384337_26_pose_z_0.01387711800634861
n_value,m_value,x_value,1728168306.3384337_27_pose_x_0.6218394637107849
n_value,m_value,x_value,1728168306.3384337_27_pose_y_2.298265218734741
n_value,m_value,x_value,1728168306.3384337_27_pose_z_0.1660706251859665
n_value,m_value,x_value,1728168306.3384337_28_pose_x_0.42158204317092896
n_value,m_value,x_value,1728168306.3384337_28_pose_y_2.2781782150268555
n_value,m_value,x_value,1728168306.3384337_28_pose_z_0.16625480353832245
n_value,m_value,x_value,1728168306.3384337_29_pose_x_0.6277337074279785
n_value,m_value,x_value,1728168306.3384337_29_pose_y_2.368481159210205
n_value,m_value,x_value,1728168306.3384337_29_pose_z_0.17427857220172882
n_value,m_value,x_value,1728168306.3384337_30_pose_x_0.41479405760765076
n_value,m_value,x_value,1728168306.3384337_30_pose_y_2.3481638431549072
n_value,m_value,x_value,1728168306.3384337_30_pose_z_0.1677653044462204
n_value,m_value,x_value,1728168306.3384337_31_pose_x_0.5686614513397217
n_value,m_value,x_value,1728168306.3384337_31_pose_y_2.427872896194458
n_value,m_value,x_value,1728168306.3384337_31_pose_z_-0.24771122634410858
n_value,m_value,x_value,1728168306.3384337_32_pose_x_0.4492189288139343
n_value,m_value,x_value,1728168306.3384337_32_pose_y_2.4097158908843994
n_value,m_value,x_value,1728168306.3384337_32_pose_z_-0.2611593008041382
n_value,m_value,x_value,1728168306.5399916_0_pose_x_0.6076575517654419
n_value,m_value,x_value,1728168306.5399916_0_pose_y_0.6279522180557251
n_value,m_value,x_value,1728168306.5399916_0_pose_z_-0.5873221755027771
n_value,m_value,x_value,1728168306.5399916_1_pose_x_0.6315410733222961
n_value,m_value,x_value,1728168306.5399916_1_pose_y_0.5908907651901245
n_value,m_value,x_value,1728168306.5399916_1_pose_z_-0.5481091737747192
n_value,m_value,x_value,1728168306.5399916_2_pose_x_0.6443316340446472
n_value,m_value,x_value,1728168306.5399916_2_pose_y_0.5934416651725769
n_value,m_value,x_value,1728168306.5399916_2_pose_z_-0.5479611754417419
n_value,m_value,x_value,1728168306.5399916_3_pose_x_0.6573562622070312
n_value,m_value,x_value,1728168306.5399916_3_pose_y_0.5967379808425903
n_value,m_value,x_value,1728168306.5399916_3_pose_z_-0.5479202270507812
n_value,m_value,x_value,1728168306.5399916_4_pose_x_0.5904970169067383
n_value,m_value,x_value,1728168306.5399916_4_pose_y_0.5861350893974304
