n,m,x,time_frame_pose_x
n_value,m_value,x_value,0_0_pose_x_0.7520944476127625
n_value,m_value,x_value,0_0_pose_y_0.27041566371917725
n_value,m_value,x_value,0_0_pose_z_-0.6591014266014099
n_value,m_value,x_value,0_0_pose_x_0.7662636637687683
n_value,m_value,x_value,0_0_pose_y_0.23227882385253906
n_value,m_value,x_value,0_0_pose_z_-0.6152571439743042
n_value,m_value,x_value,0_0_pose_x_0.7751727104187012
n_value,m_value,x_value,0_0_pose_y_0.23333947360515594
n_value,m_value,x_value,0_0_pose_z_-0.6152700781822205
n_value,m_value,x_value,0_0_pose_x_0.7817046046257019
n_value,m_value,x_value,0_0_pose_y_0.23450905084609985
n_value,m_value,x_value,0_0_pose_z_-0.6151319146156311
n_value,m_value,x_value,0_0_pose_x_0.735761284828186
n_value,m_value,x_value,0_0_pose_y_0.2320348471403122
n_value,m_value,x_value,0_0_pose_z_-0.6060394644737244
n_value,m_value,x_value,0_0_pose_x_0.725321888923645
n_value,m_value,x_value,0_0_pose_y_0.23337656259536743
n_value,m_value,x_value,0_0_pose_z_-0.6060655117034912
n_value,m_value,x_value,0_0_pose_x_0.7153011560440063
n_value,m_value,x_value,0_0_pose_y_0.23574501276016235
n_value,m_value,x_value,0_0_pose_z_-0.60639488697052
n_value,m_value,x_value,0_0_pose_x_0.7922812700271606
n_value,m_value,x_value,0_0_pose_y_0.2602818012237549
n_value,m_value,x_value,0_0_pose_z_-0.3394297957420349
n_value,m_value,x_value,0_0_pose_x_0.704347550868988
n_value,m_value,x_value,0_0_pose_y_0.2649754285812378
n_value,m_value,x_value,0_0_pose_z_-0.2933793067932129
n_value,m_value,x_value,0_0_pose_x_0.7698105573654175
n_value,m_value,x_value,0_0_pose_y_0.32459938526153564
n_value,m_value,x_value,0_0_pose_z_-0.5611889958381653
n_value,m_value,x_value,0_0_pose_x_0.731469452381134
n_value,m_value,x_value,0_0_pose_y_0.32031911611557007
n_value,m_value,x_value,0_0_pose_z_-0.5496582388877869
n_value,m_value,x_value,0_0_pose_x_0.8669718503952026
n_value,m_value,x_value,0_0_pose_y_0.5547631978988647
n_value,m_value,x_value,0_0_pose_z_-0.22826436161994934
n_value,m_value,x_value,0_0_pose_x_0.6129733324050903
n_value,m_value,x_value,0_0_pose_y_0.5215510129928589
n_value,m_value,x_value,0_0_pose_z_-0.10948027670383453
n_value,m_value,x_value,0_0_pose_x_0.8882015943527222
n_value,m_value,x_value,0_0_pose_y_0.8961818218231201
n_value,m_value,x_value,0_0_pose_z_-0.21223318576812744
n_value,m_value,x_value,0_0_pose_x_0.42976704239845276
n_value,m_value,x_value,0_0_pose_y_0.6023819446563721
n_value,m_value,x_value,0_0_pose_z_-0.4744490683078766
n_value,m_value,x_value,0_0_pose_x_0.8458447456359863
n_value,m_value,x_value,0_0_pose_y_1.102935552597046
n_value,m_value,x_value,0_0_pose_z_-0.40442124009132385
n_value,m_value,x_value,0_0_pose_x_0.4396835267543793
n_value,m_value,x_value,0_0_pose_y_0.24957746267318726
n_value,m_value,x_value,0_0_pose_z_-1.0966049432754517
n_value,m_value,x_value,0_0_pose_x_0.8447569608688354
n_value,m_value,x_value,0_0_pose_y_1.2107983827590942
n_value,m_value,x_value,0_0_pose_z_-0.4646573066711426
n_value,m_value,x_value,0_0_pose_x_0.4450460374355316
n_value,m_value,x_value,0_0_pose_y_0.14385986328125
n_value,m_value,x_value,0_0_pose_z_-1.224341869354248
n_value,m_value,x_value,0_0_pose_x_0.8285830616950989
n_value,m_value,x_value,0_0_pose_y_1.1772582530975342
n_value,m_value,x_value,0_0_pose_z_-0.49833863973617554
n_value,m_value,x_value,0_0_pose_x_0.46111607551574707
n_value,m_value,x_value,0_0_pose_y_0.13568806648254395
n_value,m_value,x_value,0_0_pose_z_-1.2024140357971191
n_value,m_value,x_value,0_0_pose_x_0.8249956965446472
n_value,m_value,x_value,0_0_pose_y_1.1446452140808105
n_value,m_value,x_value,0_0_pose_z_-0.42512446641921997
n_value,m_value,x_value,0_0_pose_x_0.46721404790878296
n_value,m_value,x_value,0_0_pose_y_0.16521978378295898
n_value,m_value,x_value,0_0_pose_z_-1.1109548807144165
n_value,m_value,x_value,0_0_pose_x_0.8009369969367981
n_value,m_value,x_value,0_0_pose_y_1.119462013244629
n_value,m_value,x_value,0_0_pose_z_-0.052513282746076584
n_value,m_value,x_value,0_0_pose_x_0.6539745330810547
n_value,m_value,x_value,0_0_pose_y_1.1649792194366455
n_value,m_value,x_value,0_0_pose_z_0.05428216606378555
n_value,m_value,x_value,0_0_pose_x_0.8176826238632202
n_value,m_value,x_value,0_0_pose_y_1.6278177499771118
n_value,m_value,x_value,0_0_pose_z_-0.011781529523432255
n_value,m_value,x_value,0_0_pose_x_0.6619401574134827
n_value,m_value,x_value,0_0_pose_y_1.6344908475875854
n_value,m_value,x_value,0_0_pose_z_0.08801150321960449
n_value,m_value,x_value,0_0_pose_x_0.8135550618171692
n_value,m_value,x_value,0_0_pose_y_2.050450086593628
n_value,m_value,x_value,0_0_pose_z_0.4253997206687927
n_value,m_value,x_value,0_0_pose_x_0.6607149243354797
n_value,m_value,x_value,0_0_pose_y_2.062739849090576
n_value,m_value,x_value,0_0_pose_z_0.3979431390762329
n_value,m_value,x_value,0_0_pose_x_0.8165428042411804
n_value,m_value,x_value,0_0_pose_y_2.1068801879882812
n_value,m_value,x_value,0_0_pose_z_0.4476681649684906
n_value,m_value,x_value,0_0_pose_x_0.6576296091079712
n_value,m_value,x_value,0_0_pose_y_2.1229450702667236
n_value,m_value,x_value,0_0_pose_z_0.4167434275150299
n_value,m_value,x_value,0_0_pose_x_0.7931101322174072
n_value,m_value,x_value,0_0_pose_y_2.189154624938965
n_value,m_value,x_value,0_0_pose_z_0.08698312938213348
n_value,m_value,x_value,0_0_pose_x_0.6714576482772827
n_value,m_value,x_value,0_0_pose_y_2.1915433406829834
n_value,m_value,x_value,0_0_pose_z_0.027634048834443092
n_value,m_value,x_value,0_0_hand_x_0.440522700548172
n_value,m_value,x_value,0_0_hand_y_0.2523624897003174
n_value,m_value,x_value,0_0_hand_z_9.950775137212986e-08
n_value,m_value,x_value,0_0_hand_x_0.4564672112464905
n_value,m_value,x_value,0_0_hand_y_0.23114454746246338
n_value,m_value,x_value,0_0_hand_z_-0.0012227916158735752
n_value,m_value,x_value,0_0_hand_x_0.46232008934020996
n_value,m_value,x_value,0_0_hand_y_0.19116856157779694
n_value,m_value,x_value,0_0_hand_z_-0.0011261868057772517
n_value,m_value,x_value,0_0_hand_x_0.4657767117023468
n_value,m_value,x_value,0_0_hand_y_0.16486461460590363
n_value,m_value,x_value,0_0_hand_z_-0.0018911190563812852
n_value,m_value,x_value,0_0_hand_x_0.46920299530029297
n_value,m_value,x_value,0_0_hand_y_0.14293642342090607
n_value,m_value,x_value,0_0_hand_z_-0.0032497872598469257
n_value,m_value,x_value,0_0_hand_x_0.4561745226383209
n_value,m_value,x_value,0_0_hand_y_0.1537267565727234
n_value,m_value,x_value,0_0_hand_z_-0.002092927461490035
n_value,m_value,x_value,0_0_hand_x_0.45897820591926575
n_value,m_value,x_value,0_0_hand_y_0.10747365653514862
n_value,m_value,x_value,0_0_hand_z_-0.00952991284430027
n_value,m_value,x_value,0_0_hand_x_0.46342840790748596
n_value,m_value,x_value,0_0_hand_y_0.07298991084098816
n_value,m_value,x_value,0_0_hand_z_-0.01548885926604271
n_value,m_value,x_value,0_0_hand_x_0.4678942859172821
n_value,m_value,x_value,0_0_hand_y_0.04520147293806076
n_value,m_value,x_value,0_0_hand_z_-0.01960711181163788
n_value,m_value,x_value,0_0_hand_x_0.45182013511657715
n_value,m_value,x_value,0_0_hand_y_0.15358929336071014
n_value,m_value,x_value,0_0_hand_z_-0.006547313649207354
n_value,m_value,x_value,0_0_hand_x_0.4550420045852661
n_value,m_value,x_value,0_0_hand_y_0.10327126830816269
n_value,m_value,x_value,0_0_hand_z_-0.014216499403119087
n_value,m_value,x_value,0_0_hand_x_0.4607647955417633
n_value,m_value,x_value,0_0_hand_y_0.06512420624494553
n_value,m_value,x_value,0_0_hand_z_-0.02093963511288166
n_value,m_value,x_value,0_0_hand_x_0.4664863348007202
n_value,m_value,x_value,0_0_hand_y_0.031694941222667694
n_value,m_value,x_value,0_0_hand_z_-0.02541961520910263
n_value,m_value,x_value,0_0_hand_x_0.4472305476665497
n_value,m_value,x_value,0_0_hand_y_0.15799184143543243
n_value,m_value,x_value,0_0_hand_z_-0.01157745998352766
n_value,m_value,x_value,0_0_hand_x_0.4505370259284973
n_value,m_value,x_value,0_0_hand_y_0.11024868488311768
n_value,m_value,x_value,0_0_hand_z_-0.019011080265045166
n_value,m_value,x_value,0_0_hand_x_0.45533493161201477
n_value,m_value,x_value,0_0_hand_y_0.07699210196733475
n_value,m_value,x_value,0_0_hand_z_-0.023969609290361404
n_value,m_value,x_value,0_0_hand_x_0.45956912636756897
n_value,m_value,x_value,0_0_hand_y_0.04872213304042816
n_value,m_value,x_value,0_0_hand_z_-0.02678004279732704
n_value,m_value,x_value,0_0_hand_x_0.4424075484275818
n_value,m_value,x_value,0_0_hand_y_0.16712164878845215
n_value,m_value,x_value,0_0_hand_z_-0.016840407624840736
n_value,m_value,x_value,0_0_hand_x_0.44410741329193115
n_value,m_value,x_value,0_0_hand_y_0.13076800107955933
n_value,m_value,x_value,0_0_hand_z_-0.023918230086565018
n_value,m_value,x_value,0_0_hand_x_0.447811096906662
n_value,m_value,x_value,0_0_hand_y_0.1049211174249649
n_value,m_value,x_value,0_0_hand_z_-0.027341553941369057
n_value,m_value,x_value,0_0_hand_x_0.4517275094985962
n_value,m_value,x_value,0_0_hand_y_0.08303336054086685
n_value,m_value,x_value,0_0_hand_z_-0.029226573184132576
n_value,m_value,x_value,0_2_pose_x_0.7538886070251465
n_value,m_value,x_value,0_2_pose_y_0.2733593285083771
n_value,m_value,x_value,0_2_pose_z_-0.6834856867790222
n_value,m_value,x_value,0_2_pose_x_0.7669022083282471
n_value,m_value,x_value,0_2_pose_y_0.23314382135868073
n_value,m_value,x_value,0_2_pose_z_-0.6403582692146301
n_value,m_value,x_value,0_2_pose_x_0.7753112316131592
n_value,m_value,x_value,0_2_pose_y_0.2342812865972519
n_value,m_value,x_value,0_2_pose_z_-0.6404415965080261
n_value,m_value,x_value,0_2_pose_x_0.7822456955909729
n_value,m_value,x_value,0_2_pose_y_0.23558536171913147
n_value,m_value,x_value,0_2_pose_z_-0.6403642296791077
n_value,m_value,x_value,0_2_pose_x_0.7364985942840576
n_value,m_value,x_value,0_2_pose_y_0.2331855297088623
n_value,m_value,x_value,0_2_pose_z_-0.635374903678894
n_value,m_value,x_value,0_2_pose_x_0.7257601022720337
n_value,m_value,x_value,0_2_pose_y_0.23479010164737701
n_value,m_value,x_value,0_2_pose_z_-0.635494589805603
n_value,m_value,x_value,0_2_pose_x_0.7156668901443481
n_value,m_value,x_value,0_2_pose_y_0.23749631643295288
n_value,m_value,x_value,0_2_pose_z_-0.6358332633972168
n_value,m_value,x_value,0_2_pose_x_0.7925508618354797
n_value,m_value,x_value,0_2_pose_y_0.26182401180267334
n_value,m_value,x_value,0_2_pose_z_-0.3605181872844696
n_value,m_value,x_value,0_2_pose_x_0.7039018869400024
n_value,m_value,x_value,0_2_pose_y_0.2659284770488739
n_value,m_value,x_value,0_2_pose_z_-0.3345736265182495
n_value,m_value,x_value,0_2_pose_x_0.7704113721847534
n_value,m_value,x_value,0_2_pose_y_0.3279978930950165
n_value,m_value,x_value,0_2_pose_z_-0.5828564167022705
n_value,m_value,x_value,0_2_pose_x_0.7322990894317627
